"Stars","ElapsedTime","Interest","Contributors","CommunityInterest","ExternalContributors","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","total.distinct","TotalEdges"
1,788.95,6,4,4,4,17623,0,0,4,0,0,0,5,0,0,0,0,0,5,5,1,6
1,172.906,4,4,3,4,17623,0,0,4,0,0,0,3,0,0,0,0,0,3,3,3,6
2,163.082,3,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,1,2,3,0,3
3,279.51,3,3,3,3,17623,0,0,3,0,0,0,2,0,0,0,0,0,1,0,3,3
1,174.7,5,4,5,4,17623,0,0,4,1,0,0,4,0,0,0,0,1,1,4,2,6
1,169.177,3,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3
1,173.046,5,4,5,4,17623,0,0,4,1,0,0,6,0,0,0,0,0,2,3,3,6
1,788.929,5,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
2,169.165,3,3,2,3,17623,0,0,3,0,0,0,1,0,0,0,0,1,1,3,0,3
1,788.928,7,5,5,5,17623,0,0,5,1,0,0,10,0,0,0,0,0,5,8,2,10
1,788.924,5,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
2,792.799,9,5,7,5,17623,0,0,5,3,0,0,5,0,0,1,0,3,6,8,2,10
1,170.811,3,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,3
2,171.562,5,3,4,3,17623,0,0,3,0,0,0,2,0,0,2,0,0,1,3,0,3
2,170.759,6,3,4,3,17623,0,0,3,0,0,0,3,0,0,1,0,0,1,3,0,3
2,170.159,4,3,3,3,17623,0,0,3,0,0,0,3,0,0,0,0,0,1,3,0,3
1,782.817,6,3,4,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
1,782.813,5,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
2,167.835,5,4,4,4,17623,0,0,4,0,0,0,2,0,0,0,0,2,3,4,2,6
3,782.805,5,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
1,782.803,5,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
1,156.933,3,3,3,3,17623,0,0,3,0,0,0,1,0,0,1,0,0,1,3,0,3
1,156.929,7,5,7,5,17623,0,0,5,1,1,0,6,0,0,2,0,2,5,10,0,10
1,156.929,3,3,2,3,17623,0,0,3,0,0,0,0,0,0,1,0,1,1,3,0,3
1,163.282,3,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,3
2,767.532,5,3,3,3,17623,0,0,3,0,0,0,4,0,0,0,0,0,1,2,1,3
1,767.52,6,3,3,3,17623,0,0,3,0,0,0,0,0,0,1,0,4,1,3,0,3
4,719.828,6,3,5,3,17623,0,0,3,0,0,0,5,0,0,0,0,0,1,3,0,3
1,779.753,7,4,5,4,17623,0,0,4,0,0,0,0,0,0,0,0,5,6,6,0,6
5,580.662,5,3,5,3,17623,0,0,3,0,0,0,2,0,0,0,0,1,0,1,2,3
1,157.319,8,4,8,4,17623,0,0,4,2,1,1,3,0,0,1,0,2,1,5,1,6
63,645.873,25,15,18,14,118,84,22,15,80,5,17,60,0,0,2,0,5,9,28,77,105
5,154.054,7,3,7,3,17623,0,0,3,1,0,0,6,0,0,0,0,0,0,1,2,3
1,105.03,3,3,2,2,27,16,5,3,0,0,0,0,0,0,0,0,0,3,2,1,3
1,769.21,6,3,4,3,17623,0,0,3,0,0,0,0,0,0,5,0,0,1,2,1,3
2,1086.479,6,5,6,5,17623,0,0,5,6,0,0,6,0,0,0,0,0,0,2,8,10
2,1051.459,7,6,5,6,17623,0,0,6,2,0,0,12,0,0,0,0,0,6,12,3,15
1,1101.033,7,4,5,4,17623,0,0,4,1,0,0,7,0,0,0,0,0,1,3,3,6
6,964.093,14,10,9,10,15,5,4,10,18,1,0,29,0,0,1,0,0,6,12,33,45
2,917.878,4,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
1,138.111,4,4,3,4,17623,0,0,4,1,0,0,4,0,0,0,0,0,1,3,3,6
1,294.976,4,4,3,4,17623,0,0,4,1,0,0,4,0,0,0,0,0,1,2,4,6
1,44.168,3,3,2,2,3,5,0,3,0,0,0,0,0,0,1,0,1,1,3,0,3
1,115.189,4,4,4,4,17623,0,0,4,0,0,0,3,0,0,0,0,0,3,5,1,6
2,140.047,5,3,4,3,17623,0,0,3,0,0,0,4,0,0,0,0,0,1,3,0,3
2,133.379,4,4,4,4,17623,0,0,4,1,0,0,4,0,0,0,0,0,1,1,5,6
6,881.2,10,7,7,7,17623,0,0,7,6,0,0,16,0,0,0,0,0,7,13,8,21
2,98.59,4,4,4,4,17623,0,0,4,1,0,0,4,0,0,0,0,0,1,1,5,6
1,125.017,4,3,4,3,17623,0,0,3,0,0,0,0,0,0,2,0,0,1,1,2,3
2,6.388,3,3,2,3,17623,0,0,3,1,0,0,2,0,0,0,0,0,0,0,3,3
2,212.77,3,3,2,3,17623,0,0,3,0,0,0,2,0,0,0,0,0,1,3,0,3
1,107.473,7,4,7,4,17623,0,0,4,3,0,0,6,0,0,0,0,0,2,4,2,6
2,97.758,5,4,3,4,17623,0,0,4,1,0,0,5,0,0,0,0,0,1,3,3,6
2734,276.231,25,23,24,23,12,0,0,23,230,21,0,22,0,0,1,0,0,0,17,236,253
2,80.701,6,3,6,3,17623,0,0,3,0,0,0,3,0,0,2,0,0,1,3,0,3
12,698.716,19,9,8,8,249,375,145,9,25,0,0,48,0,0,0,0,0,19,14,22,36
2,139.828,3,3,2,3,17623,0,0,3,0,0,0,2,0,0,0,0,0,1,0,3,3
2,40.921,3,3,3,3,17623,0,0,3,0,0,0,2,0,0,0,0,0,1,2,1,3
6,467.987,6,4,3,4,17623,0,0,4,0,1,0,2,0,0,3,0,0,2,3,3,6
1,38.76,3,3,2,3,17623,0,0,3,0,0,0,2,0,0,0,0,0,1,1,2,3
2,555.477,3,3,3,3,17623,0,0,3,0,0,0,2,0,0,0,0,0,1,1,2,3
1,36.198,6,3,6,3,17623,0,0,3,0,0,0,0,0,0,0,0,1,6,3,0,3
1,370.705,5,4,4,4,17623,0,0,4,0,1,0,2,0,0,1,0,1,1,1,5,6
1,258.799,3,3,1,3,17623,0,0,3,0,0,0,0,0,0,0,0,2,1,2,1,3
1,402.081,4,3,1,3,57,255,183,3,0,0,0,0,0,0,0,0,0,2,1,2,3
1,31.301,11,3,11,3,17623,0,0,3,5,1,1,3,0,0,0,0,3,0,3,0,3
38,888.688,14,10,12,10,17623,0,0,10,25,0,6,22,0,0,0,0,4,2,14,31,45
1,778.235,3,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,2,1,3,0,3
2,28.276,5,3,5,3,17623,0,0,3,1,0,0,4,0,0,0,0,0,0,2,1,3
38,595.914,25,23,21,22,57,255,183,23,190,0,0,75,0,0,0,0,0,5,19,234,253
2,1116.276,5,5,2,5,17623,0,0,5,1,1,0,4,0,0,3,0,0,1,9,1,10
7,900.716,18,8,6,7,249,375,145,8,16,0,0,22,0,0,0,0,0,9,3,25,28
1,247.199,3,3,1,3,17623,0,0,3,0,0,0,0,0,0,0,0,2,1,3,0,3
1,881.081,6,4,5,4,17623,0,0,4,1,0,0,6,0,0,0,0,0,1,3,3,6
40,1149.489,14,12,10,12,17623,0,0,12,28,0,8,26,0,1,0,0,3,5,22,44,66
2,598.17,4,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3
36,616.981,25,22,24,22,57,255,183,22,222,0,7,25,0,0,0,0,1,0,33,198,231
