issue_id,status,owner,priority.code,priority.code.numeric,reported.by,elapsed.time,comments,commenters,comments.by.nonowners,commenters.nonowners,owner.bugs,owner.comments,owner.comments.nonowned,total.vertices,c1_c1,c1_c2,c1_c3,c1_c4,c2_c2,c2_c3,c2_c4,c3_c3,c3_c4,c4_c4,repeat.edges,total.distinct,total.edges
42457,Fix Released,Veena,Low,3,Cindy Lu,823.1044,11,6,10,5,3,6,0,6,0,1,0,7,0,0,5,0,2,2,9,6,15
42458,Fix Released,Liyingjun,Low,3,Xavier Queralt,822.5842,13,8,12,7,128,461,156,8,0,4,2,2,1,4,7,1,6,0,14,14,28
42459,Fix Released,Felipe Reyes,Low,3,Felipe Reyes,2700.1233,10,4,7,3,6,11,2,4,0,0,0,7,0,0,0,0,0,2,4,2,6
42460,Fix Released,Masco Kaliyamoorthy,Low,3,Masco Kaliyamoorthy,809.9814,9,4,5,3,18,106,32,4,0,0,0,5,0,0,0,0,0,2,5,1,6
42461,Fix Released,Ladislav Smola,Low,3,Ladislav Smola,2498.0842,9,5,7,4,38,190,105,5,0,0,0,6,0,0,1,0,0,1,5,5,10
42462,Fix Released,George Peristerakis,Low,3,George Peristerakis,764.2756,10,4,6,3,13,41,8,4,0,0,0,6,0,0,0,0,0,3,4,2,6
42464,Fix Released,Cindy Lu,Low,3,Cindy Lu,754.0242,11,4,7,3,71,455,251,4,0,0,0,0,0,0,5,0,2,0,3,3,6
42465,Fix Released,Leandro Ignacio Costantino,Low,3,Santiago Baldassin,748.7453,11,7,10,6,27,75,25,7,1,0,2,10,0,0,0,0,4,2,12,9,21
42466,Fix Released,Bhavani Shankar,Low,3,Tianpeng Wang,744.2003,15,7,10,6,3,11,6,7,20,0,8,9,0,0,0,0,1,4,13,8,21
42467,Fix Released,ling-yun,Low,3,ling-yun,736.6986,10,5,7,4,47,196,115,5,0,0,1,5,0,0,1,0,3,0,4,6,10
42468,Fix Released,Tianpeng Wang,Low,3,Tianpeng Wang,1535.8719,11,4,5,3,2,14,4,4,0,0,0,5,0,0,0,0,0,1,4,2,6
42469,Fix Released,Jeremy Moffitt,Low,3,Aaron Sahlin,730.4694,12,6,10,5,3,7,3,6,2,4,0,9,0,0,1,0,4,0,10,5,15
42470,Fix Released,Corey Wright,Low,3,Matt Riedemann,1327.265,10,5,10,5,2,26,5,5,0,0,0,0,0,0,0,0,3,4,6,4,10
42471,Fix Released,Akihiro Motoki,Low,3,Akihiro Motoki,705.7169,7,3,5,2,319,2773,1800,3,0,0,0,0,0,0,0,0,0,5,2,1,3
42472,Fix Released,Bradley Jones,Low,3,Lin Hua Cheng,689.4231,12,5,11,4,26,89,3,5,0,1,1,4,0,1,1,0,2,2,7,3,10
