issue.id,status,owner,priority.code,priority.code.numeric,reported.by,elapsed.time,comments,commenters,commenters.nonowners,comments.by.nonowners,owner.bugs,owner.comments,owner.comments.nonowned,total.vertices,c1_c1,c1_c2,c1_c3,c1_c4,c2_c2,c2_c3,c2_c4,c3_c3,c3_c4,c4_c4,repeat.edges,total.distinct.edges,total.edges
117429,RESOLVED,Project Inbox,normal,3,Gordon Yorke,15789.2064,7,3,3,7,1579,0,0,3,2,0,0,0,0,2,0,2,0,0,3,0,3
117430,RESOLVED,Mike Norman,normal,3,Mike Norman,15475.8231,10,3,3,10,122,121,23,3,2,0,0,0,0,0,0,4,0,0,3,0,3
117431,RESOLVED,Project Inbox,normal,3,Tom Ware,15282.4067,7,3,3,7,564,0,0,3,2,0,0,0,0,0,0,4,0,0,3,0,3
117433,RESOLVED,kyle chen,normal,3,Doug Clarke,15650.8569,10,4,4,10,6,25,8,4,9,2,2,0,0,0,0,0,0,0,6,0,6
117437,RESOLVED,None,normal,3,None,13945.1203,12,3,3,12,305,109,109,3,1,3,0,0,0,2,0,0,0,0,2,1,3
117445,RESOLVED,Chris Delahunt,normal,3,Chris Delahunt,14082.5378,7,3,2,4,106,78,63,3,0,2,0,0,0,2,0,2,0,0,3,0,3
117448,RESOLVED,None,normal,3,None,13728.3714,10,3,3,10,58,194,194,3,0,2,0,0,0,0,0,4,0,0,3,0,3
117450,RESOLVED,Chris Delahunt,normal,3,Chris Delahunt,14106.655,8,3,2,5,106,78,63,3,0,3,0,0,0,2,0,2,0,0,3,0,3
117454,RESOLVED,kyle chen,normal,3,Mike Keith,15985.1222,10,4,4,10,6,25,8,4,4,6,2,0,0,0,0,0,0,0,4,2,6
117465,RESOLVED,Denise Smith,minor,2,Michael OBrien,15600.8731,20,3,3,20,379,30,30,3,11,0,2,0,0,0,0,2,0,0,3,0,3
117467,CLOSED,None,normal,3,None,13754.2733,17,4,4,17,305,109,109,4,1,14,0,0,2,2,0,2,0,0,6,0,6
117494,RESOLVED,David Minsky,normal,3,David Minsky,12785.7597,7,3,2,3,125,38,14,3,0,1,2,0,0,0,0,1,0,0,3,0,3
117501,RESOLVED,Matt MacIvor,normal,3,Matt MacIvor,13368.0769,6,3,2,3,346,40,17,3,0,0,1,0,0,2,0,0,0,0,2,1,3
117502,RESOLVED,David Minsky,normal,3,David Minsky,13530.5439,6,3,2,3,125,38,14,3,0,1,2,0,0,0,0,0,0,0,1,2,3
117503,RESOLVED,Project Inbox,normal,3,None,13290.1442,7,4,4,7,35,0,0,4,0,0,6,0,0,0,0,3,2,0,6,0,6
117507,RESOLVED,Project Inbox,normal,3,Edwin Tang,13125.5281,8,3,3,8,564,0,0,3,0,0,1,0,0,0,0,2,0,0,2,1,3
117509,RESOLVED,Leslie Davis,normal,3,Leslie Davis,13242.595,7,3,2,3,67,11,4,3,0,0,3,0,0,0,0,1,0,0,2,1,3
117510,RESOLVED,Matt MacIvor,normal,3,Matt MacIvor,12715.3117,6,3,2,3,346,40,17,3,0,0,1,0,0,2,0,0,0,0,2,1,3
117513,RESOLVED,Project Inbox,normal,3,Edwin Tang,13273.0953,6,3,3,6,564,0,0,3,0,1,0,0,0,0,0,2,0,0,1,2,3
117516,RESOLVED,Project Inbox,normal,3,Chris Delahunt,12863.0456,8,3,3,8,564,0,0,3,0,4,1,0,0,3,0,2,0,0,3,0,3
117517,RESOLVED,None,normal,3,None,13459.9292,8,4,4,8,327,0,0,4,3,0,4,0,0,0,0,0,0,0,4,2,6
117518,RESOLVED,None,normal,3,Rick Barkhouse,13123.5625,6,3,3,6,37,0,0,3,0,0,3,0,0,0,0,0,0,0,2,1,3
117520,RESOLVED,None,normal,3,Edwin Tang,13271.8294,7,3,3,7,37,0,0,3,0,0,1,0,0,0,0,1,1,0,2,1,3
117522,RESOLVED,Tom Ware,normal,3,Tom Ware,12959.4294,6,3,2,3,316,216,210,3,0,0,0,0,0,1,0,0,4,0,3,0,3
117527,RESOLVED,Matt MacIvor,normal,3,Edwin Tang,13272.5469,11,4,4,11,346,40,17,4,7,0,2,0,0,0,2,0,2,0,5,1,6
117528,RESOLVED,None,normal,3,None,13461.3803,7,4,4,7,327,0,0,4,3,0,2,2,0,0,0,0,0,0,3,3,6
117529,RESOLVED,Project Inbox,normal,3,Edwin Tang,12907.7972,7,3,3,7,564,0,0,3,0,0,1,0,0,0,0,0,2,0,2,1,3
117537,RESOLVED,None,normal,3,None,13461.3147,7,4,4,7,327,0,0,4,3,0,2,2,0,0,0,0,0,0,4,2,6
117539,RESOLVED,Edwin Tang,normal,3,Edwin Tang,13266.315,10,3,3,10,42,76,76,3,0,0,1,0,0,0,0,0,2,0,2,1,3
117546,RESOLVED,Project Inbox,normal,3,Edwin Tang,14563.1356,15,4,4,15,564,0,0,4,6,3,1,0,4,4,2,0,2,0,5,1,6
117548,RESOLVED,Guy Pelletier,normal,3,Guy Pelletier,12552.7358,12,3,3,12,297,372,360,3,0,0,0,3,0,0,0,0,0,2,2,1,3
117552,RESOLVED,Leslie Davis,major,5,None,12553.0697,8,3,2,5,67,11,4,3,0,0,3,1,0,0,0,0,0,2,2,1,3
117580,RESOLVED,Guy Pelletier,normal,3,Guy Pelletier,14082.5889,12,4,3,5,297,372,360,4,0,0,1,3,0,0,0,0,8,2,4,2,6
117586,RESOLVED,Matt MacIvor,normal,3,Guy Pelletier,14085.3228,11,5,5,11,346,40,17,5,1,0,1,8,0,0,0,0,1,2,6,4,10
117590,RESOLVED,Eric Gwin,normal,3,Eric Gwin,11902.7567,16,4,4,16,189,45,45,4,0,8,2,0,0,0,2,0,0,0,3,3,6
117600,RESOLVED,Liza Rekadze,minor,2,Michael OBrien,12051.4078,21,5,5,21,27,17,17,5,12,3,15,6,0,0,0,0,2,0,8,2,10
117634,RESOLVED,Eric Gwin,normal,3,Eric Gwin,11753.8964,15,3,3,15,189,45,45,3,0,10,0,0,7,0,2,0,0,0,3,0,3
117646,RESOLVED,None,normal,3,None,11105.3225,9,3,3,9,98,0,0,3,0,0,0,2,0,0,2,0,0,2,3,0,3
117649,RESOLVED,Eric Gwin,minor,2,Michael OBrien,11951.0064,30,5,5,30,189,45,45,5,4,13,4,0,0,18,0,0,4,0,6,4,10
117657,RESOLVED,David McCann,normal,3,David McCann,11231.3406,9,3,2,5,420,57,45,3,5,0,0,0,0,0,2,0,0,0,2,1,3
117659,RESOLVED,David McCann,normal,3,Edwin Tang,11202.5075,10,4,4,10,420,57,45,4,2,6,0,0,0,0,0,0,2,0,4,2,6
117664,RESOLVED,None,major,5,Edwin Tang,11684.3247,19,6,6,19,305,109,109,6,0,7,0,0,9,6,2,0,2,0,9,6,15
117665,RESOLVED,David McCann,normal,3,Edwin Tang,11687.925,9,4,4,9,420,57,45,4,1,5,0,0,0,0,0,0,2,0,4,2,6
117675,RESOLVED,Matt MacIvor,normal,3,Matt MacIvor,13368.5928,12,4,3,8,346,40,17,4,13,0,0,0,0,0,2,0,0,0,3,3,6
117837,RESOLVED,David McCann,normal,3,Mike Norman,6214.5769,11,6,6,11,420,57,45,6,10,4,3,0,0,0,0,1,1,0,9,6,15
117838,RESOLVED,Tom Ware,normal,3,Yiping Zhao,3670.8931,11,4,4,11,316,216,210,4,0,0,8,2,0,0,0,1,0,0,4,2,6
117841,RESOLVED,Mike Norman,major,5,Mike Norman,3143.645,8,3,2,2,122,121,23,3,0,0,0,0,0,0,0,1,2,0,3,0,3
117842,RESOLVED,Mike Norman,normal,3,Mike Norman,4657.4286,16,3,2,2,122,121,23,3,0,0,0,0,0,0,0,1,2,0,3,0,3
117843,RESOLVED,Mike Norman,normal,3,Mike Norman,12194.3289,23,3,2,2,122,121,23,3,0,0,0,0,0,0,0,1,2,0,3,0,3
117844,RESOLVED,Mike Norman,normal,3,Mike Norman,4826.2625,9,3,2,2,122,121,23,3,0,0,0,0,0,0,0,1,2,0,3,0,3
117845,RESOLVED,Mike Norman,normal,3,Mike Norman,6144.1792,8,3,2,2,122,121,23,3,0,0,0,0,0,0,0,1,2,0,3,0,3
117846,RESOLVED,Mike Norman,normal,3,Mike Norman,1753.8128,7,3,2,2,122,121,23,3,0,0,0,0,0,0,0,1,2,0,3,0,3
117847,RESOLVED,Mike Norman,major,5,Mike Norman,3148.9797,8,3,2,2,122,121,23,3,0,0,0,0,0,0,0,1,2,0,3,0,3
117848,RESOLVED,Mike Norman,normal,3,Mike Norman,3625.7131,10,3,2,2,122,121,23,3,0,0,0,0,0,0,0,1,2,0,3,0,3
117849,RESOLVED,Mike Norman,major,5,Mike Norman,2976.9967,14,3,2,2,122,121,23,3,0,0,0,0,0,0,0,1,2,0,3,0,3
117850,RESOLVED,Mike Norman,major,5,Mike Norman,3841.2969,10,3,2,2,122,121,23,3,0,0,0,0,0,0,0,1,2,0,3,0,3
117851,RESOLVED,Mike Norman,normal,3,Mike Norman,4710.0306,7,3,2,2,122,121,23,3,0,0,0,0,0,0,0,1,2,0,3,0,3
118035,REOPENED,Project Inbox,normal,3,John Leed III,5445.6031,20,5,5,20,564,0,0,5,4,15,12,0,0,4,0,1,0,0,8,2,10
118066,RESOLVED,Gordon Yorke,major,5,Edwin Tang,7299.5144,14,3,3,14,142,54,54,3,0,0,9,0,0,0,0,0,1,0,2,1,3
118080,RESOLVED,Rick Barkhouse,enhancement,4,Rick Barkhouse,4893.8092,7,3,3,7,242,26,21,3,0,0,0,2,0,0,0,0,0,0,1,2,3
118098,RESOLVED,Project Inbox,normal,3,bwl6zxjpb24k,4400.755,5,3,3,5,564,0,0,3,0,0,1,1,0,0,0,0,1,0,1,2,3
118347,RESOLVED,Chris Delahunt,normal,3,Gordon Yorke,13236.6011,14,6,6,14,106,78,63,6,1,7,6,2,0,6,0,3,1,0,8,7,15
118506,CLOSED,Project Inbox,normal,3,None,9385.1519,15,5,5,15,1579,0,0,5,3,0,22,0,0,0,0,7,0,0,9,1,10
