"issue.id","ElapsedTime","Interest","Contributors","ExternalContributors","CommunityInterest","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","TotalDistinctEdges","TotalEdges"
221871,8769.1344,12,6,6,12,225,0,0,6,11,0,15,0,0,0,0,1,0,0,14,1,15
221946,2799.4189,17,6,6,17,728,0,0,6,4,4,17,0,0,7,0,1,0,0,10,5,15
221955,27599.7097,14,9,9,14,77,17,17,9,18,5,6,13,0,1,0,0,1,0,10,26,36
221977,31006.3875,41,32,32,41,49,6,6,32,503,25,0,67,0,0,0,0,0,1,78,418,496
221987,8513.9853,13,7,7,13,728,0,0,7,3,0,15,1,0,0,0,11,1,0,7,14,21
222001,19746.2517,11,8,8,11,225,0,0,8,15,0,6,15,0,0,0,0,1,0,9,19,28
222009,17572.14,10,5,4,6,128,200,196,5,3,4,7,0,1,5,0,0,0,0,4,6,10
222012,29526.4775,9,4,4,9,880,620,620,4,1,0,2,2,0,0,0,0,6,0,2,4,6
222056,21.8747,8,3,3,8,1403,0,0,3,0,0,7,0,0,0,0,1,0,0,3,0,3
222084,30212.0356,74,43,43,74,1,1,1,43,884,148,55,130,6,6,7,1,3,0,556,347,903
222149,37270.6067,39,23,22,37,225,0,0,23,92,47,84,15,8,24,4,10,11,0,94,159,253
222162,19532.5922,21,7,7,21,1403,0,0,7,3,0,9,16,0,0,0,1,4,9,16,5,21
222163,1740.8575,14,6,6,14,89,160,160,6,1,2,8,6,0,2,1,2,10,0,6,9,15
222189,37119.8689,62,35,35,62,225,0,0,35,340,89,72,252,2,6,25,4,12,20,329,266,595
222211,11757.4858,13,7,7,13,1403,0,0,7,0,0,5,2,0,0,0,8,7,2,11,10,21
222230,24216.7694,9,5,5,9,728,0,0,5,0,0,5,3,0,0,0,0,5,1,6,4,10
222241,24846.4481,22,14,14,22,1403,0,0,14,17,0,13,27,0,0,4,0,3,2,28,63,91
222270,1253.4936,14,8,8,14,728,0,0,8,0,0,0,3,0,0,0,0,8,12,13,15,28
222273,27179.8892,17,11,11,17,128,200,196,11,21,16,18,0,1,4,0,1,0,0,22,33,55
222298,3296.5631,16,3,3,16,17,128,128,3,0,0,0,0,0,6,0,9,0,0,3,0,3
222303,2836.3306,21,6,6,21,69,39,39,6,6,8,13,0,0,6,0,0,0,0,7,8,15
222304,3605.7317,18,5,5,18,190,0,0,5,9,14,4,0,0,1,0,0,0,0,7,3,10
222306,1496.4319,11,4,4,11,69,39,39,4,0,2,2,0,0,4,0,0,0,0,4,2,6
222314,1685.3839,24,5,5,24,1014,0,0,5,2,0,25,0,0,1,0,3,0,0,8,2,10
222325,10885.185,22,6,6,22,190,0,0,6,13,12,7,0,0,9,0,0,0,0,11,4,15
222346,9854.1378,14,5,5,14,13,166,166,5,9,9,7,0,0,1,0,0,0,0,9,1,10
222381,16880.26,19,4,4,19,1014,0,0,4,0,1,18,0,0,2,0,7,0,0,6,0,6
222382,4812.8269,23,7,7,23,1014,0,0,7,20,12,17,0,0,4,0,1,0,0,20,1,21
222397,2715.6628,14,4,4,14,22,161,161,4,0,2,4,0,7,3,0,1,0,0,4,2,6
222410,6637.4811,15,4,4,15,1014,0,0,4,0,5,5,0,0,5,0,3,0,0,5,1,6
222411,1668.0481,11,6,6,11,7,54,54,6,6,1,6,0,0,3,0,0,0,0,7,8,15
222421,5674.5164,15,5,5,15,2,6,6,5,17,2,13,0,0,0,0,1,0,0,7,3,10
222425,12896.0419,18,4,4,18,1014,0,0,4,0,16,5,0,3,2,0,2,0,0,6,0,6
222488,9041.9039,10,3,3,10,22,161,161,3,0,0,2,0,0,3,0,3,0,0,3,0,3
222500,3051.0767,23,5,5,23,1014,0,0,5,0,1,23,0,0,0,0,3,0,0,7,3,10
