"ElapsedTime","Interest","Contributors","CommunityInterest","ExternalContributors","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","total.distinct","TotalEdges"
278.7853,10,5,8,4,370,3863,2311,5,1,8,2,0,1,0,0,0,0,0,8,2,10
261.4494,10,4,8,3,5,28,19,4,3,0,16,0,0,0,0,0,0,0,5,1,6
258.315,11,6,8,5,370,3863,2311,6,2,8,2,4,3,0,0,0,0,0,8,7,15
232.6625,11,5,9,4,19,572,513,5,1,4,5,0,1,5,0,0,0,0,8,2,10
3458.1544,11,5,8,4,10,99,78,5,12,0,2,0,0,0,0,0,0,0,4,6,10
3233.8428,9,4,6,3,10,99,78,4,8,0,2,0,0,0,0,0,0,0,4,2,6
2602.21,8,5,6,4,370,3863,2311,5,6,0,0,0,0,4,0,0,0,0,7,3,10
2533.9761,7,3,7,3,14,27,18,3,3,0,4,0,0,0,0,0,0,0,3,0,3
2296.0706,8,3,3,2,370,3863,2311,3,1,0,0,0,0,2,0,0,0,0,2,1,3
1781.1067,9,3,8,2,411,2225,1444,3,3,2,2,0,0,2,0,0,0,0,3,0,3
1607.7083,9,4,4,3,67,367,220,4,6,0,0,0,0,2,0,0,0,0,4,2,6
1459.9611,8,3,8,3,14,27,18,3,1,0,0,0,0,2,0,0,0,0,2,1,3
1442.5428,7,3,7,3,15804,0,0,3,3,1,2,0,0,2,0,0,0,0,3,0,3
1436.9061,9,4,4,3,370,3863,2311,4,3,0,0,0,0,2,0,0,0,0,3,3,6
1241.6475,11,5,7,4,1,17,13,5,5,7,2,0,0,2,0,0,0,0,8,2,10
1194.1214,9,4,4,3,370,3863,2311,4,3,0,0,0,0,2,0,0,0,0,4,2,6
998.1014,11,5,6,4,56,309,44,5,11,0,2,0,0,0,0,0,0,0,6,4,10
975.1272,7,4,4,3,19,66,30,4,4,0,2,0,0,0,0,0,0,0,3,3,6
570.2181,8,5,7,4,18,55,11,5,5,5,0,0,0,2,0,0,0,0,9,1,10
480.2444,7,4,4,3,181,2242,1440,4,1,2,2,0,0,4,0,0,0,0,6,0,6
480.1136,7,4,4,3,181,2242,1440,4,1,2,2,0,0,4,0,0,0,0,6,0,6
479.1053,8,4,4,3,181,2242,1440,4,1,2,2,0,0,4,0,0,0,0,6,0,6
448.4503,11,5,10,4,21,34,26,5,5,7,2,0,0,0,0,0,0,0,9,1,10
446.3978,10,5,6,4,181,2242,1440,5,3,6,2,0,0,0,0,0,0,0,7,3,10
429.5511,10,5,8,4,21,34,26,5,3,8,4,0,2,4,0,0,0,0,10,0,10
427.0119,13,5,12,4,411,2225,1444,5,16,0,6,0,0,0,0,0,0,0,7,3,10
306.0133,9,4,4,3,67,367,220,4,1,2,0,0,0,2,0,0,0,0,4,2,6
303.7831,9,4,4,3,19,66,30,4,5,1,2,0,0,0,0,0,0,0,4,2,6
280.6319,9,4,6,3,18,55,11,4,1,5,2,0,1,0,0,0,0,0,4,2,6
261.0964,8,4,4,3,370,3863,2311,4,0,2,0,0,3,2,0,0,0,0,4,2,6
4501.7519,11,4,7,3,10,99,78,4,11,0,1,1,0,0,0,0,0,0,4,2,6
1603.3997,8,3,8,3,15804,0,0,3,6,0,0,4,0,0,0,0,0,0,3,0,3
639.0678,8,3,3,2,19,66,30,3,1,0,0,2,0,0,0,0,0,0,2,1,3
455.9325,14,4,14,4,370,3863,2311,4,10,1,0,2,0,0,0,0,0,0,4,2,6
262.9747,11,3,2,2,161,57002,55005,3,0,3,0,2,3,0,2,0,0,0,3,0,3
3665.0433,7,3,7,3,15804,0,0,3,2,1,0,0,0,0,2,0,0,0,3,0,3
3050.3022,12,4,4,3,56,309,44,4,5,0,0,2,0,0,0,0,0,0,4,2,6
2510.9489,7,5,7,5,15804,0,0,5,6,0,0,2,0,0,0,0,0,0,4,6,10
2429.0583,8,5,8,5,15804,0,0,5,7,0,0,4,0,0,0,0,0,0,4,6,10
1939.2275,6,4,6,4,15804,0,0,4,2,0,0,0,0,0,2,0,0,0,3,3,6
1814.8314,12,3,8,2,10,52,37,3,5,0,0,4,0,0,0,0,0,0,3,0,3
1440.5094,7,4,4,3,127,400,194,4,3,0,0,2,0,0,0,0,0,0,3,3,6
1252.6675,8,4,8,4,15804,0,0,4,1,2,0,0,0,0,2,0,0,0,4,2,6
1095.2728,8,4,5,3,209,1162,437,4,1,4,0,2,0,0,2,0,0,0,5,1,6
996.9433,7,3,3,2,56,309,44,3,1,0,0,2,0,0,0,0,0,0,2,1,3
976.7397,6,4,6,4,15804,0,0,4,1,2,0,0,0,0,2,0,0,0,4,2,6
954.7947,8,4,4,3,3,22,10,4,3,0,0,2,0,0,0,0,0,0,2,4,6
830.8356,10,4,5,3,73,294,52,4,7,0,0,2,0,0,0,0,0,0,5,1,6
785.7244,8,4,4,3,73,294,52,4,3,0,0,2,0,0,0,0,0,0,4,2,6
741.1353,8,4,4,3,56,309,44,4,3,0,0,2,0,0,0,0,0,0,4,2,6
741.065,8,4,4,3,56,309,44,4,3,0,0,2,0,0,0,0,0,0,4,2,6
738.5572,6,3,6,3,15804,0,0,3,1,0,0,4,0,0,0,0,0,0,3,0,3
675.2639,6,4,6,4,15804,0,0,4,1,2,0,0,0,0,2,0,0,0,4,2,6
667.1331,7,3,6,2,15,46,30,3,3,0,0,2,0,0,2,0,0,0,3,0,3
663.0508,7,5,6,4,67,367,220,5,3,3,0,2,0,0,2,0,0,0,5,5,10
644.0572,6,4,6,4,15804,0,0,4,3,0,0,2,0,0,0,0,0,0,2,4,6
1491.3903,8,3,5,2,181,2242,1440,3,3,0,1,2,0,0,0,0,0,0,2,1,3
877.0142,10,4,5,3,181,2242,1440,4,5,2,0,2,0,0,0,0,0,0,4,2,6
